"Story","Title","Result","Date","Stability","Duration (s)"
"Createsong","Create a new song","SUCCESS","2018-09-04T10:11:45.977-05:00[America/Bogota]","0.0","4.54"
"Deletesong","Delete song","SUCCESS","2018-09-04T10:11:50.519-05:00[America/Bogota]","0.0","6.64"
"Songs by genre","filter songs by genre - positive","SUCCESS","2018-09-04T10:10:31.16-05:00[America/Bogota]","0.0","10.48"
"Songs by genre","filter songs by genre - negative","SUCCESS","2018-09-04T10:10:41.652-05:00[America/Bogota]","0.0","0.63"
"Songs by id","Filter songs by id - positive","SUCCESS","2018-09-04T10:10:42.286-05:00[America/Bogota]","0.0","0.68"
"Songs by id","Filter songs by id - negative","SUCCESS","2018-09-04T10:10:42.969-05:00[America/Bogota]","0.0","0.05"
"List of instances","List with all the instances - Positive","SUCCESS","2018-09-04T10:10:43.021-05:00[America/Bogota]","0.0","0.15"
"List of instances","List with the instances of an specific provided store - Positive","SUCCESS","2018-09-04T10:10:43.168-05:00[America/Bogota]","0.0","1.58"
"List of instances","List with the instances of an non-existent provided store - Negative","SUCCESS","2018-09-04T10:10:44.756-05:00[America/Bogota]","0.0","0.11"
"Top five songs","See the top five more listened songs","SUCCESS","2018-09-04T10:10:44.867-05:00[America/Bogota]","0.0","0.07"
"Updatesong","Update song","SUCCESS","2018-09-04T10:11:57.161-05:00[America/Bogota]","0.0","4.21"
